,,,,,,,,,,In City of Detroit?,Total Pop,White Pop,% White,Nonwhite Pop,% Nonwhite,Black Pop,Racial Type,Total Occupied Dwelling Units,Owner Occupied,% Owner Occupied,% OO Type,Tenant Occupied,Total White Occupied,% White Ownership (White Pop),OO White,%OO White,Total Nonwhite Occupied,% Nonwhite Ownership (Nonwhite Pop),OO Black,OO Other,OO Black + Other,% OO Black + Other,Nonwhite Owner Type,TO White,TO Black,TO Other,TO Black + Other,# Value Reported Homes,Median Value,Nonwhite Pop Type,Zero,Min,Avg,Above Avg,Majority,Nonwhite Owner Type,Zero,Min,Avg,Above Avg,Majority,Race and Tenure Type,Zero-Owner,Zero-Mixed,Zero-Renter,Min-Owner,Min-Mixed,Min-Renter,Avg-Owner,Avg-Mixed,Avg-Renter,Above Avg-Owner,Above Avg-Mixed,Above Avg-Renter,Majority-Owner,Majority-Mixed,Majority-Renter,,Nonwhite lower,Nonwhite upper,Type,#,%,# Nonwhite Owner Types,% Nonwhite Owner Types,,% Owner Lower,% Owner Higher,Type,#,%
GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,,BUB001,BUQ001,,BUQ002,,BVG001,,BVP001,BU2001,,,BU2002,,,BU3001,,,,BU3002,BU3003,,,,BU3004,BU3005,BU3006,,BVA001,BVC001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,1.00%,Zero,394,81.74%,449,93.15%,,0.00%,40.00%,1,153,31.74%
G26009900877,1940,Michigan,26,Macomb,99,,877,,STCTY-26099 TRACT-    0877     IN DETROIT MI ADJ AREA,No,24,24,100.00%,0,0.00%,0,Zero,4,1,25.00%,1,3,4,25.00%,1,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,3,0,0,0,1,0,,0,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,4.99%,Min,0,0.00%,0,0.00%,,33.33%,60.00%,2,240,49.79%
G26009900880,1940,Michigan,26,Macomb,99,,880,,STCTY-26099 TRACT-    0880     IN DETROIT MI ADJ AREA,No,4083,4083,100.00%,0,0.00%,0,Zero,1116,884,79.21%,3,232,1116,79.21%,884,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,232,0,0,0,878,2886,,2886,,,,,,2886,,,,,,2886,,,,,,,,,,,,,,,,5.01%,15.00%,Avg,28,5.81%,25,5.19%,,66.67%,100.00%,3,89,18.46%
G26009900881,1940,Michigan,26,Macomb,99,,881,,STCTY-26099 TRACT-    0881     IN DETROIT MI ADJ AREA,No,3423,3418,99.85%,5,0.15%,5,Zero,904,678,75.00%,3,226,902,74.94%,676,99.71%,2,100.00%,0,2,2,0.22%,Zero,226,0,0,0,675,3539,,3539,,,,,,3539,,,,,,3539,,,,,,,,,,,,,,,,20.01%,49.99%,Above Avg,60,12.45%,8,1.66%,,,,,482,
G26009900882,1940,Michigan,26,Macomb,99,,882,,STCTY-26099 TRACT-    0882     IN DETROIT MI ADJ AREA,No,2031,2031,100.00%,0,0.00%,0,Zero,520,412,79.23%,3,108,520,79.23%,412,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,108,0,0,0,411,3286,,3286,,,,,,3286,,,,,,3286,,,,,,,,,,,,,,,,,100.00%,Majority,0,0.00%,0,0.00%,,,,,,
G26009900883,1940,Michigan,26,Macomb,99,,883,,STCTY-26099 TRACT-    0883     IN DETROIT MI ADJ AREA,No,4032,4032,100.00%,0,0.00%,0,Zero,1030,787,76.41%,3,243,1030,76.41%,787,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,243,0,0,0,779,3815,,3815,,,,,,3815,,,,,,3815,,,,,,,,,,,,,,,,,,Total,482,100.00%,482,100.00%,,,,,,
G26009900884,1940,Michigan,26,Macomb,99,,884,,STCTY-26099 TRACT-    0884     IN DETROIT MI ADJ AREA,No,2521,2521,100.00%,0,0.00%,0,Zero,625,482,77.12%,3,143,625,77.12%,482,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,143,0,0,0,481,2409,,2409,,,,,,2409,,,,,,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900885,1940,Michigan,26,Macomb,99,,885,,STCTY-26099 TRACT-    0885     IN DETROIT MI ADJ AREA,No,3810,3447,90.47%,363,9.53%,363,Avg,914,715,78.23%,3,199,804,78.11%,628,87.83%,110,79.09%,87,0,87,9.52%,Avg,176,23,0,23,710,1702,,,,1702,,,,,,1702,,,,,,,,,,1702,,,,,,,,,,,,,,,,,,,,,,
G26009900886,1940,Michigan,26,Macomb,99,,886,,STCTY-26099 TRACT-    0886     IN DETROIT MI ADJ AREA,No,1740,1740,100.00%,0,0.00%,0,Zero,436,352,80.73%,3,84,436,80.73%,352,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,84,0,0,0,348,1755,,1755,,,,,,1755,,,,,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900887,1940,Michigan,26,Macomb,99,,887,,STCTY-26099 TRACT-    0887     IN DETROIT MI ADJ AREA,No,3473,3473,100.00%,0,0.00%,0,Zero,854,654,76.58%,3,200,854,76.58%,654,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,200,0,0,0,642,2138,,2138,,,,,,2138,,,,,,2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900888,1940,Michigan,26,Macomb,99,,888,,STCTY-26099 TRACT-    0888     IN DETROIT MI ADJ AREA,No,1969,1969,100.00%,0,0.00%,0,Zero,513,404,78.75%,3,109,513,78.75%,404,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,109,0,0,0,394,1689,,1689,,,,,,1689,,,,,,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900889,1940,Michigan,26,Macomb,99,,889,,STCTY-26099 TRACT-    0889     IN DETROIT MI ADJ AREA,No,2899,2773,95.65%,126,4.35%,126,Zero,764,527,68.98%,3,237,728,68.41%,498,94.50%,36,80.56%,29,0,29,3.80%,Zero,230,7,0,7,524,2539,,2539,,,,,,2539,,,,,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500848,1940,Michigan,26,Oakland,125,,848,,STCTY-26125 TRACT-    0848     IN DETROIT MI ADJ AREA,No,4469,4296,96.13%,173,3.87%,173,Zero,1087,708,65.13%,2,379,1045,65.55%,685,96.75%,42,54.76%,23,0,23,2.12%,Zero,360,19,0,19,707,2185,,2185,,,,,,2185,,,,,,,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500849,1940,Michigan,26,Oakland,125,,849,,STCTY-26125 TRACT-    0849     IN DETROIT MI ADJ AREA,No,6788,6785,99.96%,3,0.04%,1,Zero,1822,1176,64.54%,2,646,1819,64.54%,1174,99.83%,3,66.67%,1,1,2,0.11%,Zero,645,0,1,1,1159,3558,,3558,,,,,,3558,,,,,,,3558,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500850,1940,Michigan,26,Oakland,125,,850,,STCTY-26125 TRACT-    0850     IN DETROIT MI ADJ AREA,No,11266,11250,99.86%,16,0.14%,5,Zero,2969,1989,66.99%,3,980,2955,67.04%,1981,99.60%,14,57.14%,3,5,8,0.27%,Zero,974,0,6,6,1962,4301,,4301,,,,,,4301,,,,,,4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500851,1940,Michigan,26,Oakland,125,,851,,STCTY-26125 TRACT-    0851     IN DETROIT MI ADJ AREA,No,1724,0,0.00%,1724,100.00%,1724,Above Avg,440,266,60.45%,2,174,0,#DIV/0!,0,0.00%,440,60.45%,266,0,266,60.45%,Above Avg,0,174,0,174,249,638,,,,,638,,,,,,638,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,
G26012500852,1940,Michigan,26,Oakland,125,,852,,STCTY-26125 TRACT-    0852     IN DETROIT MI ADJ AREA,No,1169,1169,100.00%,0,0.00%,0,Zero,310,219,70.65%,3,91,310,70.65%,219,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,91,0,0,0,207,3076,,3076,,,,,,3076,,,,,,3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500853,1940,Michigan,26,Oakland,125,,853,,STCTY-26125 TRACT-    0853     IN DETROIT MI ADJ AREA,No,3391,3360,99.09%,31,0.91%,26,Zero,901,697,77.36%,3,204,900,77.33%,696,99.86%,1,100.00%,0,1,1,0.11%,Zero,204,0,0,0,695,7125,,7125,,,,,,7125,,,,,,7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26012500854,1940,Michigan,26,Oakland,125,,854,,STCTY-26125 TRACT-    0854     IN DETROIT MI ADJ AREA,No,1705,1685,98.83%,20,1.17%,19,Zero,467,405,86.72%,3,62,467,86.72%,405,100.00%,0,#DIV/0!,0,0,0,0.00%,Zero,62,0,0,0,401,9720,,9720,,,,,,9720,,,,,,9720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
