,,,,,,,,,,In City?,Total Pop,White,% White,Black,% Black,Other,% Other,Black + Other,% Black + Other,Racial Type,Owner Occupied,Renter Occupied,Total Occupied,% Owner Occupied,% Owner Type,Total White Occupied,% White Ownership (White Pop),White Owner Occupied,% White Owner (Overall Occupied),Total Nonwhite Occupied,% Nonwhite Ownership (Nonwhite Pop),Nonwhite Owner Occupied,% Nonwhite Owner (Overall Occupied),Nonwhite Owner Type,White Renter Occupied,% White Renter (Overall Occupied),Nonwhite Renter Occupied,% Nonwhite Renter (Overall Occupied),Median House Value,White HH,Nonwhite HH,% White Owner,% Nonwhite Owner,Nonwhite Pop Type,Zero,Min,Avg,Above Avg,Majority,Nonwhite Owner Type,Zero,Min,Avg,Above Avg,Majority,Race and Tenure Type,Zero-Owner,Zero-Mixed,Zero-Renter,Min-Owner,Min-Mixed,Min-Renter,Avg-Owner,Avg-Mixed,Avg-Renter,Above Avg-Owner,Above Avg-Mixed,Above Avg-Renter,Majority-Owner,Majority-Mixed,Majority-Renter,,% Black+Other lower,% Black+Other upper,Type,#,%,# Nonwhite Owner Types,% Nonwhite Owner Types,,% Owner Lower,% Owner Higher,Type,#,%
GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,,,B0J001,,B0J002,,B0J003,,,,,B0T001,B0T002,,,,,,,,,,B0V001,,,,,B0V002,,B09001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,1.00%,Zero,358,70.33%,402,79.29%,,0.00%,40.00%,1,104,20.51%
G26009900877,1950,Michigan,26,Macomb,99,,877,,STCTY-26099 TRACT- 0877 GROSSE POINTE SHORES MI-SEE TR 163 877,No,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,0,#DIV/0!,,,0,#DIV/0!,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00%,Min,0,0.00%,0,0.00%,,33.33%,60.00%,2,209,41.22%
G26009900880,1950,Michigan,26,Macomb,99,,880,,STCTY-26099 TRACT-    0880     IN ST CLAIR SHORES MI,No,9355,9347,99.91%,3,0.03%,5,0.05%,8,0.09%,Zero,2189,430,2619,83.58%,3,2618,83.58%,2188,83.54%,1,100.00%,1,0.04%,Zero,430,16.42%,0,0.00%,8387,2618,1,83.58%,100.00%,,8387,,,,,,8387,,,,,,8387,,,,,,,,,,,,,,,,5.01%,15.00%,Avg,51,10.02%,62,12.23%,,66.67%,100.00%,3,194,38.26%
G26009900881,1950,Michigan,26,Macomb,99,,881,,STCTY-26099 TRACT-    0881     IN ST CLAIR SHORES MI,No,6270,6264,99.90%,2,0.03%,4,0.06%,6,0.10%,Zero,1554,199,1753,88.65%,3,1751,88.64%,1552,88.53%,2,100.00%,2,0.11%,Zero,199,11.35%,0,0.00%,9576,1751,2,88.64%,100.00%,,9576,,,,,,9576,,,,,,9576,,,,,,,,,,,,,,,,20.01%,49.99%,Above Avg,100,19.65%,43,8.48%,,,,,507,
G26009900882,1950,Michigan,26,Macomb,99,,882,,STCTY-26099 TRACT-    0882     IN EAST DETROIT MI ADJ AREAS,No,8872,8867,99.94%,3,0.03%,2,0.02%,5,0.06%,Zero,2122,115,2237,94.86%,3,2236,94.86%,2121,94.81%,1,100.00%,1,0.04%,Zero,115,5.14%,0,0.00%,9342,2236,1,94.86%,100.00%,,9342,,,,,,9342,,,,,,9342,,,,,,,,,,,,,,,,,100.00%,Majority,0,0.00%,0,0.00%,,,,,,
G26009900883,1950,Michigan,26,Macomb,99,,883,,STCTY-26099 TRACT-    0883     IN EAST DETROIT MI ADJ AREAS,No,7389,7386,99.96%,1,0.01%,2,0.03%,3,0.04%,Zero,1770,184,1954,90.58%,3,1953,90.58%,1769,90.53%,1,100.00%,1,0.05%,Zero,184,9.42%,0,0.00%,9439,1953,1,90.58%,100.00%,,9439,,,,,,9439,,,,,,9439,,,,,,,,,,,,,,,,,,Total,509,100.00%,507,100.00%,,,,,,
G26009900884,1950,Michigan,26,Macomb,99,,884,,STCTY-26099 TRACT-    0884     IN EAST DETROIT MI ADJ AREAS,No,5200,5196,99.92%,1,0.02%,3,0.06%,4,0.08%,Zero,1265,126,1391,90.94%,3,1391,90.94%,1265,90.94%,0,#DIV/0!,0,0.00%,Zero,126,9.06%,0,0.00%,8453,1391,0,90.94%,#DIV/0!,,8453,,,,,,8453,,,,,,8453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900885,1950,Michigan,26,Macomb,99,,885,,STCTY-26099 TRACT-    0885     IN ROSEVILLE MI,No,6987,6367,91.13%,611,8.74%,9,0.13%,620,8.87%,Avg,1686,203,1889,89.25%,3,1722,90.59%,1560,82.58%,167,75.45%,126,6.67%,Avg,162,8.58%,41,2.17%,6694,1722,167,90.59%,75.45%,,,,6694,,,,,,6694,,,,,,,,,,6694,,,,,,,,,,,,,,,,,,,,,,
G26009900886,1950,Michigan,26,Macomb,99,,886,,STCTY-26099 TRACT-    0886     IN ROSEVILLE MI,No,3330,3328,99.94%,2,0.06%,0,0.00%,2,0.06%,Zero,825,82,907,90.96%,3,907,90.96%,825,90.96%,0,#DIV/0!,0,0.00%,Zero,82,9.04%,0,0.00%,7103,907,0,90.96%,#DIV/0!,,7103,,,,,,7103,,,,,,7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26009900887,1950,Michigan,26,Macomb,99,,887,,STCTY-26099 TRACT-    0887     IN ROSEVILLE MI,No,5499,5497,99.96%,1,0.02%,1,0.02%,2,0.04%,Zero,1307,159,1466,89.15%,3,1466,89.15%,1307,89.15%,0,#DIV/0!,0,0.00%,Zero,159,10.85%,0,0.00%,7066,1466,0,89.15%,#DIV/0!,,7066,,,,,,7066,,,,,,7066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
