...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,City of Detroit?,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,Total Pop,Nonwite Pop,% Nonwhite Pop,White Pop,Racial Type,Total Housing Units,# HU reporting value,Total Occupied,# Owner Occupied,# Tenant Occupied,% Owner Occupied,% Owner Type,White OO,White TO,Total White Occupied,% White Ownership (White Pop),Nonwhite OO,Nonwhite TO,Total Nonwhite Occupied,% Nonwhite Ownership (Nonwhite Pop),Housing Quality Nonwhite HHS,Sound w all fac,Sound but lacking some fac,Deteriorating w all fac,Deteriorating but lacking some fac,Dilapodated,OO Units by Reported Value,...36,...37,...38,...39,...40,...41,Occupied by Tenure,OO,TO,Nonwhite Occupied by Tenure,med.val,,Nonwhite Pop Type,Zero,Min,Avg,Above Avg,Majority,Nonwhite Owner Type,Zero,Min,Avg,Above Avg,Majority,Race and Tenure Type,Zero-Owner,Zero-Mixed,Zero-Renter,Min-Owner,Min-Mixed,Min-Renter,Avg-Owner,Avg-Mixed,Avg-Renter,Above Avg-Owner,Above Avg-Mixed,Above Avg-Renter,Majority-Owner,Majority-Mixed,Majority-Renter,,% Nonwhite Lower,% Nonwhite Upper,Type,#,%,# Nonwhite Owner Types,% Nonwhite Owner Types,,% Owner Lower,% Owner Higher,Type,#,%
GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,MSA,PLACE,PRETRACTA,TRACTA,POSTTRCTA,URBAN,AREANAME,,60MCD,PLACEDC,60PLACESC,SF1,SF2,SF3,SF4,SF5,SF6,GC23,CA4001,B9T001,,,,CA5001,CA6001,,B8F001,B8F002,,,,,,,B9P001,B9P002,,,,B9Q001,B9Q002,B9Q003,B9Q004,B9Q005,,B78001,B78002,B78003,B78004,B78005,B78006,,B9O001,B9O002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,5.00%,Zero,514,65.98%,,,,0.00%,40.00%,1,101,12.97%
G2600990MA0001,1960,Michigan,26,Macomb,99,2160,,MA,1,,550,TRACT MA-1 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,11020,5,0.05%,11015,Zero,3139,9,2969,2251,718,75.82%,3,2251,718,2969,75.82%,0,0,0,#DIV/0!,,2,0,0,0,0,,6,109,406,1173,287,258,,2251,718,,17121.51253,,,17121.51253,,,,,,,,,,,,17121.51253,,,,,,,,,,,,,,,,,,Min,0,0.00%,,,,33.33%,60.00%,2,215,27.60%
G2600990MA0002,1960,Michigan,26,Macomb,99,2160,,MA,2,,550,TRACT MA-2 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,9623,0,0.00%,9623,Zero,2637,5,2535,2416,119,95.31%,3,2416,119,2535,95.31%,0,0,0,#DIV/0!,,1,0,0,0,0,,7,190,764,907,370,157,,2416,119,,16483.59836,,,16483.59836,,,,,,,,,,,,16483.59836,,,,,,,,,,,,,,,,5.01%,20.00%,Avg,62,7.96%,,,,66.67%,100.00%,3,463,59.44%
G2600990MA0003,1960,Michigan,26,Macomb,99,2160,,MA,3,,550,TRACT MA-3 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,3407,26,0.76%,3381,Zero,911,13,835,799,36,95.69%,3,795,36,831,95.67%,4,0,4,100.00%,,3,0,0,0,0,,3,24,95,580,81,7,,794,41,,17998.43443,,,17998.43443,,,,,,,,,,,,17998.43443,,,,,,,,,,,,,,,,20.01%,49.99%,Above Avg,203,26.06%,,,,,,,779,
G2600990MA0004,1960,Michigan,26,Macomb,99,2160,,MA,4,,550,TRACT MA-4 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,6391,16,0.25%,6375,Zero,1915,7,1771,1616,155,91.25%,3,1612,155,1767,91.23%,4,0,4,100.00%,,2,0,0,0,0,,19,295,863,285,69,62,,1616,155,,12488.5,,,12488.5,,,,,,,,,,,,12488.5,,,,,,,,,,,,,,,,,100.00%,Majority,0,0.00%,,,,,,,,
G2600990MA0005,1960,Michigan,26,Macomb,99,2160,,MA,5,,550,TRACT MA-5 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,6355,8,0.13%,6347,Zero,1978,3,1866,1697,169,90.94%,3,1697,169,1866,90.94%,0,0,0,#DIV/0!,,0,0,0,0,0,,3,122,337,470,361,392,,1697,169,,19102.41221,,,19102.41221,,,,,,,,,,,,19102.41221,,,,,,,,,,,,,,,,,,Total,779,100.00%,,,,,,,,
G2600990MA0006,1960,Michigan,26,Macomb,99,2160,,MA,6,,550,TRACT MA-6 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,9260,8,0.09%,9252,Zero,1958,9,1913,1849,64,96.65%,3,1845,64,1909,96.65%,4,0,4,100.00%,,3,0,0,0,0,,1,21,496,964,234,131,,2188,76,,16755.62658,,,16755.62658,,,,,,,,,,,,16755.62658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0007,1960,Michigan,26,Macomb,99,2160,,MA,7,,550,TRACT MA-7 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,7648,0,0.00%,7648,Zero,1981,4,1894,1848,46,97.57%,3,1848,46,1894,97.57%,0,0,0,#DIV/0!,,1,0,0,0,0,,4,72,434,1112,164,57,,1846,48,,16270.19236,,,16270.19236,,,,,,,,,,,,16270.19236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0008,1960,Michigan,26,Macomb,99,2160,,MA,8,,550,TRACT MA-8 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,5160,0,0.00%,5160,Zero,1495,10,1355,1256,99,92.69%,3,1256,99,1355,92.69%,0,0,0,#DIV/0!,,1,0,0,0,0,,6,108,378,521,107,77,,1256,99,,15946.36686,,,15946.36686,,,,,,,,,,,,15946.36686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0009,1960,Michigan,26,Macomb,99,2160,,MA,9,,550,TRACT MA-9 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,7672,4,0.05%,7668,Zero,2081,6,1949,1839,110,94.36%,3,1839,110,1949,94.36%,0,0,0,#DIV/0!,,1,0,0,0,0,,11,190,649,699,159,111,,1839,110,,15461.61412,,,15461.61412,,,,,,,,,,,,15461.61412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0010,1960,Michigan,26,Macomb,99,2160,,MA,10,,550,TRACT MA-10 ST CLAIR SHORES CITY,No,18,4,11,0,0,0,0,1,1,0,11495,167,1.45%,11328,Zero,3010,167,2846,2689,157,94.48%,3,2652,153,2805,94.55%,37,4,41,90.24%,,27,3,10,2,2,,16,144,918,1460,62,67,,2689,157,,15573.66981,,,15573.66981,,,,,,,,,,,,15573.66981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0011,1960,Michigan,26,Macomb,99,2160,,MA,11,,550,TRACT MA-11 EAST DETROIT CITY,No,6,4,10,0,0,1,1,1,1,0,8796,0,0.00%,8796,Zero,2389,2,2274,2161,113,95.03%,3,2161,113,2274,95.03%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,2161,113,,14958.98043,,,14958.98043,,,,,,,,,,,,14958.98043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0012,1960,Michigan,26,Macomb,99,2160,,MA,12,,550,TRACT MA-12 EAST DETROIT CITY,No,6,4,10,0,0,1,1,1,1,0,8800,15,0.17%,8785,Zero,1498,3,1467,1441,26,98.23%,3,1441,26,1467,98.23%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,2261,80,,17035.42629,,,17035.42629,,,,,,,,,,,,17035.42629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0013,1960,Michigan,26,Macomb,99,2160,,MA,13,,550,TRACT MA-13 EAST DETROIT CITY,No,6,4,10,0,0,1,1,1,1,0,10660,24,0.23%,10636,Zero,3295,21,3011,2678,333,88.94%,3,2674,329,3003,89.04%,4,4,8,50.00%,,6,0,1,0,0,,0,0,0,0,0,0,,2678,333,,13528.77419,,,13528.77419,,,,,,,,,,,,13528.77419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0014,1960,Michigan,26,Macomb,99,2160,,MA,14,,550,TRACT MA-14 EAST DETROIT CITY,No,6,4,10,0,0,1,1,1,1,0,17500,12,0.07%,17488,Zero,4580,7,4401,4035,366,91.68%,3,4031,366,4397,91.68%,4,0,4,100.00%,,2,0,0,0,0,,0,0,0,0,0,0,,4035,366,,15205.94635,,,15205.94635,,,,,,,,,,,,15205.94635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0015,1960,Michigan,26,Macomb,99,2160,,MA,15,,550,TRACT MA-15 ROSEVILLE CITY,No,17,4,11,0,0,1,1,0,1,0,10439,682,6.53%,9757,Avg,2789,684,2566,2267,299,88.35%,3,2150,253,2403,89.47%,117,46,163,71.78%,,103,3,37,8,11,,0,0,0,0,0,0,,2267,299,,14294.93391,,,,,14294.93391,,,,,,,,,,,,,,,,14294.93391,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0016,1960,Michigan,26,Macomb,99,2160,,MA,16,,550,TRACT MA-16 ROSEVILLE CITY,No,17,4,11,0,0,1,1,1,1,0,9059,8,0.09%,9051,Zero,2534,10,2207,1978,229,89.62%,3,1978,229,2207,89.62%,0,0,0,#DIV/0!,,1,0,0,0,1,,0,0,0,0,0,0,,1978,229,,11576.96779,,,11576.96779,,,,,,,,,,,,11576.96779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0017,1960,Michigan,26,Macomb,99,2160,,MA,17,,550,TRACT MA-17 ROSEVILLE CITY,No,17,4,11,0,0,1,1,1,1,0,11714,26,0.22%,11688,Zero,3023,15,2808,2533,275,90.21%,3,2529,275,2804,90.19%,4,0,4,100.00%,,4,0,0,0,0,,0,0,0,0,0,0,,2533,275,,12001.22144,,,12001.22144,,,,,,,,,,,,12001.22144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0018,1960,Michigan,26,Macomb,99,2160,,MA,18,,550,TRACT MA-18 ROSEVILLE CITY,No,17,4,11,0,0,1,1,1,1,0,14571,31,0.21%,14540,Zero,4010,26,3625,3267,358,90.12%,3,3263,354,3617,90.21%,4,4,8,50.00%,,7,0,0,0,0,,0,0,0,0,0,0,,3267,358,,13022.76246,,,13022.76246,,,,,,,,,,,,13022.76246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0019,1960,Michigan,26,Macomb,99,2160,,MA,19,,550,TRACT MA-19 ROSEVILLE CITY,No,17,4,11,0,0,1,1,1,1,0,4412,8,0.18%,4404,Zero,1450,3,1199,1024,175,85.40%,3,1024,175,1199,85.40%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,1024,175,,13837.49296,,,13837.49296,,,,,,,,,,,,13837.49296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0020,1960,Michigan,26,Macomb,99,2160,,MA,20,,550,TRACT MA-20 FRASER CITY,No,7,4,7,0,0,1,1,1,1,0,5579,5,0.09%,5574,Zero,1613,1,1426,1323,103,92.78%,3,1323,103,1426,92.78%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,1323,103,,16677.56944,,,16677.56944,,,,,,,,,,,,16677.56944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0021,1960,Michigan,26,Macomb,99,2160,,MA,21,,550,TRACT MA-21 FRASER CITY,No,7,4,7,0,0,1,1,1,1,0,1448,0,0.00%,1448,Zero,517,0,394,339,55,86.04%,3,339,55,394,86.04%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,339,55,,14805.11207,,,14805.11207,,,,,,,,,,,,14805.11207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2600990MA0022,1960,Michigan,26,Macomb,99,2160,,MA,22,,550,TRACT MA-22 WARREN CITY,No,22,4,11,0,0,1,1,1,1,0,2325,0,0.00%,2325,Zero,896,1,657,464,193,70.62%,3,464,193,657,70.62%,0,0,0,#DIV/0!,,0,0,0,0,0,,0,0,0,0,0,0,,464,193,,17526.58511,,,17526.58511,,,,,,,,,,,,17526.58511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
