Tract,State,County_name,GISJOIN,GISJOIN2,GeoRecType,Total_Population,White_Population,Black_Population,Occupied_Housing_Units,Occupied_Housing_Units_Owner,Occupied_Housing_Units_Renter,Count_Owner_Occupied_units,Avg_Value_OO_units,Count_Black_OO_units,Avg_Value_Black_OO_units,Count_Vacant_For_Sale_Only_Housing_Units,Avg_Vacant_For_Sale_Only,Total_Housing_Units,Count_Units_Value_Tabulated,less than 5k,5k_to_7499,7.5k_to_9999,10k_to_12499,12.5k_to_14999,15k_to_17499,17.5k_to_19999,20k_to_24999,25k_to_34999,35k_to_49999,50k_or_more,Tract_str,In city of Detroit?,% White Population,% Black Population,% Owner Occupied (OO) units,% Black OO units,Median_Housing_Value
2001.1,MI,"Census Tract 2001.1, Macomb County, Michigan",G2600990200101,2600990200101,1,3825,3795.0,0,1480.0,667.0,813,667.0,35256.7466266867,,,,,1533,667.0,0.0,0.0,0.0,5.0,5.0,6.0,27.0,45.0,291.0,242.0,46.0,2001.1,No,99.2156862745098,0.0,45.067567567567565,,33452.762886597935
2001.2,MI,"Census Tract 2001.2, Macomb County, Michigan",G2600990200102,2600990200102,1,3877,3873.0,0,984.0,955.0,29,950.0,22985.5263157895,,,,,990,950.0,0.0,0.0,11.0,9.0,27.0,125.0,149.0,372.0,228.0,29.0,0.0,2001.2,No,99.89682744389992,0.0,97.0528455284553,,22076.197580645163
2001.3,MI,"Census Tract 2001.3, Macomb County, Michigan",G2600990200103,2600990200103,1,3898,3898.0,0,1161.0,975.0,186,954.0,24076.2578616352,,,,,1173,954.0,0.0,5.0,15.0,24.0,60.0,43.0,102.0,365.0,285.0,55.0,0.0,2001.3,No,100.0,0.0,83.97932816537468,,23129.51095890411
2002.1,MI,"Census Tract 2002.1, Macomb County, Michigan",G2600990200201,2600990200201,1,4152,4152.0,0,1288.0,1159.0,129,1088.0,21721.0477941176,,,,,1300,1088.0,5.0,5.0,31.0,55.0,116.0,111.0,212.0,244.0,274.0,28.0,7.0,2002.1,No,100.0,0.0,89.98447204968944,,20194.633196721312
2002.2,MI,"Census Tract 2002.2, Macomb County, Michigan",G2600990200202,2600990200202,1,5562,5562.0,0,1576.0,1344.0,232,1306.0,25267.9938744257,,,,,1617,1306.0,0.0,5.0,10.0,30.0,33.0,124.0,202.0,426.0,334.0,105.0,37.0,2002.2,No,100.0,0.0,85.27918781725889,,22927.81807511737
2003.1,MI,"Census Tract 2003.1, Macomb County, Michigan",G2600990200301,2600990200301,1,3312,3312.0,0,1004.0,800.0,204,790.0,18703.4810126582,,,,,1026,790.0,12.0,17.0,41.0,61.0,63.0,162.0,157.0,166.0,105.0,6.0,0.0,2003.1,No,100.0,0.0,79.6812749003984,,18128.729299363058
2003.2,MI,"Census Tract 2003.2, Macomb County, Michigan",G2600990200302,2600990200302,1,2998,2998.0,0,820.0,683.0,137,652.0,25253.0674846626,,,,,823,652.0,0.0,0.0,0.0,9.0,6.0,41.0,42.0,279.0,265.0,0.0,10.0,2003.2,No,100.0,0.0,83.29268292682926,,24094.163082437277
2004,MI,"Census Tract 2004, Macomb County, Michigan",G26009902004,26009902004,1,4558,4558.0,0,1456.0,1090.0,366,1054.0,21004.5066413662,,,,,1494,1054.0,0.0,0.0,19.0,41.0,150.0,158.0,243.0,295.0,79.0,47.0,22.0,2004,No,100.0,0.0,74.86263736263736,,19140.29012345679
2005.1,MI,"Census Tract 2005.1, Macomb County, Michigan",G2600990200501,2600990200501,1,4366,4336.0,0,1375.0,1180.0,195,1161.0,25965.7622739018,,,,,1393,1161.0,0.0,0.0,18.0,77.0,79.0,54.0,131.0,314.0,314.0,127.0,47.0,2005.1,No,99.31287219422813,0.0,85.81818181818181,,23534.32484076433
2005.2,MI,"Census Tract 2005.2, Macomb County, Michigan",G2600990200502,2600990200502,1,2594,2589.0,0,816.0,729.0,87,729.0,31169.4101508916,,,,,828,729.0,0.0,7.0,5.0,26.0,18.0,11.0,55.0,151.0,255.0,127.0,74.0,2005.2,No,99.80724749421742,0.0,89.33823529411765,,28607.482352941177
2006.1,MI,"Census Tract 2006.1, Macomb County, Michigan",G2600990200601,2600990200601,1,3657,3635.0,6,956.0,909.0,47,899.0,24855.3948832036,,,,,966,899.0,0.0,0.0,6.0,18.0,29.0,53.0,122.0,345.0,246.0,80.0,0.0,2006.1,No,99.3984140005469,0.16406890894175555,95.0836820083682,,23216.747826086958
2006.2,MI,"Census Tract 2006.2, Macomb County, Michigan",G2600990200602,2600990200602,1,5326,5318.0,0,1334.0,1293.0,41,1273.0,23710.7227022781,,,,,1342,1273.0,0.0,4.0,6.0,10.0,23.0,89.0,189.0,553.0,384.0,10.0,5.0,2006.2,No,99.84979346601577,0.0,96.92653673163419,,22856.571428571428
2007.1,MI,"Census Tract 2007.1, Macomb County, Michigan",G2600990200701,2600990200701,1,4056,4037.0,0,1043.0,980.0,63,942.0,22208.067940552,,,,,1045,942.0,0.0,0.0,0.0,21.0,51.0,129.0,205.0,324.0,189.0,17.0,6.0,2007.1,No,99.53155818540434,0.0,93.95973154362416,,21010.600308641977
2007.2,MI,"Census Tract 2007.2, Macomb County, Michigan",G2600990200702,2600990200702,1,4650,4634.0,0,1196.0,1091.0,105,1075.0,25532.5581395349,,,,,1207,1075.0,0.0,0.0,0.0,5.0,18.0,67.0,138.0,388.0,390.0,63.0,6.0,2007.2,No,99.65591397849462,0.0,91.22073578595318,,23994.046391752578
2008.1,MI,"Census Tract 2008.1, Macomb County, Michigan",G2600990200801,2600990200801,1,2306,2302.0,0,670.0,568.0,102,563.0,22286.8561278863,,,,,682,563.0,10.0,9.0,20.0,27.0,61.0,21.0,74.0,176.0,132.0,28.0,5.0,2008.1,No,99.82653946227234,0.0,84.77611940298507,,21704.204545454544
2008.2,MI,"Census Tract 2008.2, Macomb County, Michigan",G2600990200802,2600990200802,1,4384,4380.0,0,1176.0,1014.0,162,961.0,24608.4807492196,,,,,1194,961.0,0.0,4.0,15.0,33.0,38.0,38.0,123.0,336.0,315.0,50.0,9.0,2008.2,No,99.90875912408758,0.0,86.22448979591837,,23421.934523809523
2009.1,MI,"Census Tract 2009.1, Macomb County, Michigan",G2600990200901,2600990200901,1,3579,3575.0,0,952.0,859.0,93,844.0,21454.3838862559,,,,,961,844.0,0.0,0.0,5.0,52.0,48.0,129.0,170.0,276.0,147.0,6.0,11.0,2009.1,No,99.88823693769208,0.0,90.23109243697479,,20335.077898550724
2009.2,MI,"Census Tract 2009.2, Macomb County, Michigan",G2600990200902,2600990200902,1,3551,3494.0,0,941.0,857.0,84,827.0,23672.9141475212,,,,,952,827.0,5.0,0.0,5.0,10.0,44.0,64.0,135.0,294.0,229.0,41.0,0.0,2009.2,No,98.39481836102506,0.0,91.07332624867162,,22567.51360544218
2009.3,MI,"Census Tract 2009.3, Macomb County, Michigan",G2600990200903,2600990200903,1,2526,2526.0,0,616.0,,,592.0,26754.6452702703,,,,,616,592.0,0.0,0.0,0.0,5.0,0.0,9.0,55.0,218.0,261.0,44.0,0.0,2009.3,No,100.0,0.0,,,25363.94827586207
2010.1,MI,"Census Tract 2010.1, Macomb County, Michigan",G2600990201001,2600990201001,1,4069,3919.0,147,1035.0,935.0,100,793.0,23332.2824716267,31.0,12338.7096774194,,,1039,793.0,0.0,12.0,0.0,19.0,39.0,22.0,72.0,400.0,221.0,8.0,0.0,2010.1,No,96.31359056279184,3.6126812484639963,90.33816425120773,3.909205548549811,22911.9175
2010.2,MI,"Census Tract 2010.2, Macomb County, Michigan",G2600990201002,2600990201002,1,4140,4140.0,0,1052.0,982.0,70,956.0,22256.5376569038,,,,,1061,956.0,6.0,0.0,9.0,5.0,50.0,82.0,183.0,448.0,148.0,20.0,5.0,2010.2,No,100.0,0.0,93.34600760456274,,21601.2421875
2010.3,MI,"Census Tract 2010.3, Macomb County, Michigan",G2600990201003,2600990201003,1,3606,3606.0,0,878.0,840.0,38,830.0,24617.4698795181,,,,,886,830.0,0.0,0.0,11.0,5.0,6.0,41.0,161.0,358.0,196.0,31.0,21.0,2010.3,No,100.0,0.0,95.67198177676538,,22674.046089385476
2010.4,MI,"Census Tract 2010.4, Macomb County, Michigan",G2600990201004,2600990201004,1,3094,3085.0,0,744.0,713.0,31,708.0,21310.0282485876,,,,,754,708.0,0.0,7.0,28.0,17.0,31.0,74.0,151.0,282.0,104.0,9.0,5.0,2010.4,No,99.70911441499678,0.0,95.83333333333334,,20824.30319148936
2011.1,MI,"Census Tract 2011.1, Macomb County, Michigan",G2600990201101,2600990201101,1,2770,2770.0,0,779.0,723.0,56,676.0,27446.375739645,,,,,791,676.0,0.0,0.0,5.0,21.0,27.0,5.0,59.0,206.0,252.0,88.0,13.0,2011.1,No,100.0,0.0,92.81129653401797,,25615.01785714286
2011.2,MI,"Census Tract 2011.2, Macomb County, Michigan",G2600990201102,2600990201102,1,6369,6369.0,0,1763.0,1714.0,49,1701.0,20211.7871840094,,,,,1773,1701.0,9.0,11.0,5.0,102.0,185.0,243.0,467.0,419.0,211.0,49.0,0.0,2011.2,No,100.0,0.0,97.22064662507091,,19083.948608137045
2012.1,MI,"Census Tract 2012.1, Macomb County, Michigan",G2600990201201,2600990201201,1,5051,5051.0,0,1461.0,,,1424.0,25157.1278089888,,,,,1465,1424.0,0.0,0.0,20.0,19.0,60.0,58.0,184.0,525.0,436.0,114.0,8.0,2012.1,No,100.0,0.0,,,23537.38761904762
2012.2,MI,"Census Tract 2012.2, Macomb County, Michigan",G2600990201202,2600990201202,1,3104,3082.0,0,950.0,862.0,88,815.0,18667.1779141104,,,,,958,815.0,0.0,9.0,28.0,67.0,109.0,155.0,157.0,207.0,79.0,4.0,0.0,2012.2,No,99.29123711340206,0.0,90.73684210526316,,18136.68789808917
2013.1,MI,"Census Tract 2013.1, Macomb County, Michigan",G2600990201301,2600990201301,1,3242,3230.0,0,1086.0,906.0,180,849.0,18285.0412249706,,,,,1103,849.0,4.0,4.0,17.0,98.0,118.0,131.0,218.0,190.0,65.0,4.0,0.0,2013.1,No,99.62985811227637,0.0,83.42541436464089,,18107.55504587156
