TRACTA,GISJOIN_y,Year,State Name,County Name,Geo_name,GISJOIN2,Total_Population,Total_Pop_White,Total_Pop_Black,Total_Pop_American_Indian,Total_Pop_Asian_Pacific_Islander,Total_Pop_Other,Percent_Pop_White,Percent_Pop_Black,Percent_Pop_American_Indian,Percent_Pop_Asian_Pacific_Islander,Percent_Pop_Other,Owner_Occupied_Housing_Units,Renter_Occupied_Housing_Units,Percent_Owner_Occupied_Housing_Units,Percent_Renter_Occupied_Housing_Units,Median_Owner_Costs_With_Mortgage,Median_Owner_Costs_Not_Mortgaged,Tract_numeric,In city of Detroit?,Owner occupied,Renter occupied,"American Indian, Eskimo, and Aleut",Asian and Pacific Islander,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, and Aleut",Owner occupied >> Asian and Pacific Islander,Owner occupied >> Other,Renter occupied >> White,Renter occupied >> Black,"Renter occupied >> American Indian, Eskimo, and Aleut",Renter occupied >> Asian and Pacific Islander,Renter occupied >> Other,"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$49,999","$50,000-$79,999","$80,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000 or more",Median value,% Black OO units
200101,G2600990200101,1980,Michigan,Macomb,Census Tract 2001.1,2600990200101,3421,3397,0,1,20,3,99.3,0,0.03,0.58,0.09,1156,451,71.94,28.06,432,234,2001.1,No,1156,451,1,6,1149,0,0,5,0,449,0,0,1,0,0,2,2,3,4,6,9,43,358,154,84,8,0,72416,0.0
200102,G2600990200102,1980,Michigan,Macomb,Census Tract 2001.2,2600990200102,3107,3060,2,11,18,16,98.49,0.06,0.35,0.58,0.51,951,79,92.33,7.67,310,180,2001.2,No,940,74,4,7,928,0,0,7,0,72,0,0,0,0,0,5,13,26,65,96,129,290,257,6,2,1,0,43828,0.0
200103,G2600990200103,1980,Michigan,Macomb,Census Tract 2001.3,2600990200103,3510,3446,0,10,45,9,98.18,0,0.28,1.28,0.26,1020,310,76.69,23.31,366,188,2001.3,No,1031,315,2,13,1018,0,0,11,0,311,0,0,2,0,1,3,14,26,46,83,103,277,391,16,6,0,0,47473,0.0
200201,G2600990200201,1980,Michigan,Macomb,Census Tract 2002.1,2600990200201,3532,3503,3,10,12,4,99.18,0.08,0.28,0.34,0.11,1187,159,88.19,11.81,324,179,2002.1,No,1187,159,4,3,1175,0,0,0,0,159,0,0,0,0,1,15,32,63,119,150,161,254,287,2,0,0,0,40039,0.0
200202,G2600990200202,1980,Michigan,Macomb,Census Tract 2002.2,2600990200202,5224,5173,4,7,19,21,99.02,0.08,0.13,0.36,0.4,1622,388,80.7,19.3,367,185,2002.2,No,1622,388,2,7,1609,0,0,6,0,386,0,0,1,0,1,6,13,26,64,160,172,345,470,44,12,0,0,46217,0.0
200301,G2600990200301,1980,Michigan,Macomb,Census Tract 2003.1,2600990200301,3225,3195,1,7,7,15,99.07,0.03,0.22,0.22,0.47,941,307,75.4,24.6,338,163,2003.1,No,941,307,2,4,935,0,0,0,3,300,0,0,0,3,8,10,21,84,93,128,132,156,147,1,0,1,0,36761,0.0
200302,G2600990200302,1980,Michigan,Macomb,Census Tract 2003.2,2600990200302,2422,2382,0,5,35,0,98.35,0,0.21,1.45,0,684,171,80,20,323,188,2003.2,No,684,171,0,10,675,0,0,9,0,170,0,0,1,0,0,1,3,8,9,28,61,218,324,3,0,0,0,49977,0.0
2004,G26009902004,1980,Michigan,Macomb,Census Tract 2004,2600990200400,3978,3920,8,14,14,22,98.54,0.2,0.35,0.35,0.55,1111,447,71.31,28.69,338,178,2004.0,No,1111,447,3,3,1099,0,0,0,4,446,0,0,0,1,2,9,23,81,134,168,153,241,177,42,28,1,1,38693,0.0
200501,G2600990200501,1980,Michigan,Macomb,Census Tract 2005.1,2600990200501,3844,3801,2,10,28,3,98.88,0.05,0.26,0.73,0.08,1251,185,87.12,12.88,391,196,2005.1,No,1251,191,3,6,1243,0,0,0,0,190,0,0,0,0,1,4,14,42,52,83,105,264,453,76,71,9,7,51689,0.0
200502,G2600990200502,1980,Michigan,Macomb,Census Tract 2005.2,2600990200502,2368,2362,0,0,5,1,99.75,0,0,0.21,0.04,772,99,88.63,11.37,500,231,2005.2,No,772,93,0,2,0,0,0,0,0,0,0,0,0,0,1,3,5,15,16,29,47,110,298,93,80,16,12,63742,0.0
200601,G2600990200601,1980,Michigan,Macomb,Census Tract 2006.1,2600990200601,3048,3028,0,8,7,5,99.34,0,0.26,0.23,0.16,951,75,92.69,7.31,347,201,2006.1,No,949,60,0,3,945,0,0,0,0,60,0,0,0,0,2,1,9,8,28,58,106,283,390,23,2,0,0,48587,0.0
200602,G2600990200602,1980,Michigan,Macomb,Census Tract 2006.2,2600990200602,4049,4027,0,15,6,1,99.46,0,0.37,0.15,0.02,1241,51,96.05,3.95,343,192,2006.2,No,1240,58,6,0,1234,0,6,0,0,58,0,0,0,0,2,3,10,19,40,100,178,413,400,7,1,0,0,45678,0.0
200701,G2600990200701,1980,Michigan,Macomb,Census Tract 2007.1,2600990200701,3279,3260,0,10,4,5,99.42,0,0.3,0.12,0.15,993,47,95.48,4.52,344,179,2007.1,No,996,55,3,3,990,0,0,0,0,55,0,0,0,0,3,7,9,30,43,114,139,311,292,6,0,0,0,44244,0.0
200702,G2600990200702,1980,Michigan,Macomb,Census Tract 2007.2,2600990200702,3925,3864,1,30,30,0,98.45,0.03,0.76,0.76,0,1171,147,88.85,11.15,341,196,2007.2,No,1157,142,3,8,1146,0,0,7,0,141,0,0,1,0,1,3,9,11,20,49,117,385,467,25,2,0,0,48688,0.0
200801,G2600990200801,1980,Michigan,Macomb,Census Tract 2008.1,2600990200801,2096,2083,0,0,12,1,99.38,0,0,0.57,0.05,648,81,88.89,11.11,373,174,2008.1,No,656,71,0,5,651,0,0,5,0,71,0,0,0,0,0,2,10,28,39,49,69,158,159,23,19,6,1,45348,0.0
200802,G2600990200802,1980,Michigan,Macomb,Census Tract 2008.2,2600990200802,3741,3708,3,15,10,5,99.12,0.08,0.4,0.27,0.13,1071,169,86.37,13.63,360,199,2008.2,No,1077,184,4,2,1071,0,0,0,0,183,0,0,0,0,2,2,9,19,27,61,114,307,397,46,22,6,2,48893,0.0
200901,G2600990200901,1980,Michigan,Macomb,Census Tract 2009.1,2600990200901,3554,3503,0,22,20,9,98.56,0,0.62,0.56,0.25,981,259,79.11,20.89,327,170,2009.1,No,981,259,6,2,973,0,5,0,0,257,0,1,0,0,0,13,23,45,65,116,127,288,211,11,22,1,2,42535,0.0
200902,G2600990200902,1980,Michigan,Macomb,Census Tract 2009.2,2600990200902,2907,2849,2,25,29,2,98,0.07,0.86,1,0.07,789,116,87.18,12.82,342,209,2009.2,No,803,105,4,7,794,0,0,5,0,102,0,0,2,0,0,7,13,20,32,63,86,220,291,19,4,0,0,47114,0.0
200903,G2600990200903,1980,Michigan,Macomb,Census Tract 2009.3,2600990200903,1983,1965,0,2,11,5,99.09,0,0.1,0.55,0.25,598,46,92.86,7.14,353,222,2009.3,No,584,57,0,1,580,0,0,0,0,57,0,0,0,0,0,0,2,6,7,30,44,150,300,7,0,0,0,53400,0.0
201001,G2600990201001,1980,Michigan,Macomb,Census Tract 2010.1,2600990201001,3274,3096,152,6,10,10,94.56,4.64,0.18,0.31,0.31,849,186,82.03,17.97,340,194,2010.1,No,849,186,1,3,813,34,0,0,0,178,5,0,0,0,5,4,7,18,20,33,82,305,285,1,0,0,0,46918,4.004711425206125
201002,G2600990201002,1980,Michigan,Macomb,Census Tract 2010.2,2600990201002,3742,3708,1,15,15,3,99.09,0.03,0.4,0.4,0.08,1098,95,92.04,7.96,340,179,2010.2,No,1098,95,7,2,1089,0,6,0,0,93,0,1,0,0,0,11,8,36,57,106,137,369,249,8,10,1,2,43848,0.0
201003,G2600990201003,1980,Michigan,Macomb,Census Tract 2010.3,2600990201003,3003,2986,2,5,7,3,99.43,0.07,0.17,0.23,0.1,887,60,93.66,6.34,328,193,2010.3,No,887,60,1,2,882,0,0,0,0,60,0,0,0,0,1,5,10,14,20,66,105,277,263,9,2,4,2,46065,0.0
201004,G2600990201004,1980,Michigan,Macomb,Census Tract 2010.4,2600990201004,2978,2968,0,2,2,6,99.66,0,0.07,0.07,0.2,854,45,94.99,5.01,331,191,2010.4,No,854,45,0,2,850,0,0,0,0,44,0,0,0,0,1,3,11,31,70,108,112,210,193,14,17,6,4,42571,0.0
201101,G2600990201101,1980,Michigan,Macomb,Census Tract 2011.1,2600990201101,2328,2307,0,1,14,6,99.1,0,0.04,0.6,0.26,706,59,92.29,7.71,395,223,2011.1,No,735,59,1,2,730,0,0,0,0,59,0,0,0,0,1,0,7,11,21,40,47,185,311,26,5,5,0,51688,0.0
201102,G2600990201102,1980,Michigan,Macomb,Census Tract 2011.2,2600990201102,5311,5275,0,14,20,2,99.32,0,0.26,0.38,0.04,1717,98,94.6,5.4,334,180,2011.2,No,1688,98,7,4,1678,0,0,0,0,97,0,0,0,0,1,26,28,119,263,308,301,379,187,1,0,0,1,36030,0.0
201201,G2600990201201,1980,Michigan,Macomb,Census Tract 2012.1,2600990201201,4155,4123,9,6,5,12,99.23,0.22,0.14,0.12,0.29,1451,46,96.93,3.07,368,198,2012.1,No,1451,46,3,1,1443,0,0,0,0,43,0,0,0,0,3,4,16,29,67,152,186,532,401,3,0,0,0,44502,0.0
201202,G2600990201202,1980,Michigan,Macomb,Census Tract 2012.2,2600990201202,2748,2707,0,9,14,18,98.51,0,0.33,0.51,0.66,867,116,88.2,11.8,340,168,2012.2,No,867,116,3,4,857,0,0,0,4,114,0,0,0,1,3,22,35,72,123,168,167,178,61,2,2,0,0,34807,0.0
201301,G2600990201301,1980,Michigan,Macomb,Census Tract 2013.1,2600990201301,2815,2789,2,4,14,6,99.08,0.07,0.14,0.5,0.21,927,163,85.05,14.95,347,161,2013.1,No,927,163,1,4,920,0,0,0,0,162,0,0,0,0,3,14,54,88,138,181,152,156,61,3,0,0,0,33536,0.0
201303,G2600990201303,1980,Michigan,Macomb,Census Tract 2013.3,2600990201303,2934,2895,0,4,15,20,98.67,0,0.14,0.51,0.68,929,199,82.36,17.64,327,175,2013.3,No,929,199,3,3,922,0,0,0,4,195,0,0,0,1,4,2,22,46,85,138,113,239,190,2,2,0,0,40481,0.0
201304,G2600990201304,1980,Michigan,Macomb,Census Tract 2013.4,2600990201304,3283,3262,2,9,9,1,99.36,0.06,0.27,0.27,0.03,969,152,86.44,13.56,324,168,2013.4,No,969,152,3,2,963,0,0,0,0,152,0,0,0,0,6,7,23,76,155,182,160,228,86,0,0,0,0,35391,0.0
201401,G2600990201401,1980,Michigan,Macomb,Census Tract 2014.1,2600990201401,6396,6336,1,16,24,19,99.06,0.02,0.25,0.38,0.3,1847,295,86.23,13.77,330,171,2014.1,No,1847,295,3,5,1839,0,0,3,0,290,0,0,2,0,3,26,76,177,311,341,335,391,99,0,1,0,1,34216,0.0
201402,G2600990201402,1980,Michigan,Macomb,Census Tract 2014.2,2600990201402,4858,4788,8,27,18,17,98.56,0.16,0.56,0.37,0.35,1436,172,89.3,10.7,317,189,2014.2,No,1436,172,7,5,1422,0,6,4,0,167,0,1,1,0,2,9,35,64,143,234,227,404,239,1,0,0,0,39229,0.0
201403,G2600990201403,1980,Michigan,Macomb,Census Tract 2014.3,2600990201403,3452,3444,4,0,3,1,99.77,0.12,0,0.09,0.03,1068,85,92.63,7.37,339,213,2014.3,No,1068,85,0,1,1066,0,0,0,0,85,0,0,0,0,0,1,7,10,22,55,102,335,423,16,4,0,0,48672,0.0
201501,G2600990201501,1980,Michigan,Macomb,Census Tract 2015.1,2600990201501,3905,3309,545,11,23,17,84.74,13.96,0.28,0.59,0.44,809,580,58.24,41.76,318,159,2015.1,No,808,594,6,5,679,121,4,0,0,538,49,2,0,0,17,21,22,34,43,66,89,228,99,0,1,0,0,40789,14.975247524752474
201502,G2600990201502,1980,Michigan,Macomb,Census Tract 2015.2,2600990201502,2097,2073,0,7,16,1,98.86,0,0.33,0.76,0.05,593,76,88.64,11.36,358,171,2015.2,No,594,62,1,4,590,0,0,0,0,60,0,0,0,0,0,3,5,15,40,105,98,229,72,0,0,0,0,40764,0.0
201503,G2600990201503,1980,Michigan,Macomb,Census Tract 2015.3,2600990201503,1961,1940,0,6,9,6,98.93,0,0.31,0.46,0.31,528,87,85.85,14.15,328,165,2015.3,No,536,48,2,2,531,0,0,0,0,46,0,0,0,0,2,6,7,56,93,144,97,79,23,0,0,0,0,33108,0.0
201504,G2600990201504,1980,Michigan,Macomb,Census Tract 2015.4,2600990201504,2115,2102,1,3,8,1,99.39,0.05,0.14,0.38,0.05,535,206,72.2,27.8,341,169,2015.4,No,527,245,1,2,525,0,0,0,0,244,0,0,0,0,1,4,5,7,30,80,92,212,68,1,0,0,0,41462,0.0
201601,G2600990201601,1980,Michigan,Macomb,Census Tract 2016.1,2600990201601,3069,3033,0,16,17,3,98.83,0,0.52,0.55,0.1,857,139,86.04,13.96,311,163,2016.1,No,831,122,7,5,817,0,7,0,0,122,0,0,0,0,7,23,61,103,164,191,120,80,32,0,0,0,0,30851,0.0
