FIPS,COUNTY,STATE,In city of Detroit?,Tract_numeric,Persons,Persons: White,Persons: Black,"Persons: American Indian, Eskimo, or Aleut",Persons: Asian or Pacific Islander,Persons: Other race,Housing units,Occupied housing units,Occupied housing units: Owner occupied,Occupied housing units: Renter occupied,% Occupied housing units: Owner occupied,% Occupied housing units: Renter occupied,Median Value for Specified owner-occupied housing units,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, or Aleut",Owner occupied >> Asian or Pacific Islander,Owner occupied >> Other race
26099206700,Macomb,Michigan,No,2067,164,164,0,0,0,0,56,56,56,0,100,0,89700,51,0,0,0,0
26099210000,Macomb,Michigan,No,2100,3424,3353,42,20,2,7,1110,1076,876,200,81.41,18.59,76100,871,1,3,0,1
26099211000,Macomb,Michigan,No,2110,4069,4050,0,12,2,5,1634,1512,1022,490,67.59,32.41,70200,1018,0,1,1,1
26099212000,Macomb,Michigan,No,2120,3883,3834,7,12,2,28,1223,1192,1031,161,86.49,13.51,83800,1035,0,3,0,4
26099213000,Macomb,Michigan,No,2130,6456,6232,141,22,41,20,2221,2139,1868,271,87.33,12.67,106900,1825,34,2,8,4
26099215000,Macomb,Michigan,No,2150,4824,4668,89,11,14,42,1710,1650,1240,410,75.15,24.85,103700,1215,12,0,1,1
26099215100,Macomb,Michigan,No,2151,8263,8165,21,17,50,10,2933,2817,2428,389,86.19,13.81,125500,2409,7,4,7,1
26099216000,Macomb,Michigan,No,2160,3230,3210,1,11,4,4,1076,1052,948,104,90.11,9.89,90000,944,1,3,0,0
26099217000,Macomb,Michigan,No,2170,2529,2476,20,21,3,9,817,794,690,104,86.9,13.1,77800,696,5,6,0,2
26099218000,Macomb,Michigan,No,2180,2943,2176,683,33,14,37,1051,983,749,234,76.2,23.8,45000,569,145,8,3,5
26099220000,Macomb,Michigan,No,2200,5798,5709,27,22,30,10,2459,2261,1433,828,63.38,36.62,83100,1424,2,3,2,2
