FIPS,COUNTY,STATE,Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,Two or more races,Housing units,Occupied Housing Units,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,% Occupied Housing Units: Owner Occupied,% Occupied Housing Units: Renter Occupied,Owner-occupied housing units: Median value,Specified owner-occupied housing units: Median value,Owner occupied >> White,Owner occupied >> Black,Owner occupied >> American Indian,Owner occupied >> Native Hawaiian and Other Pacific Islander,Owner occupied >> Two or more races,Owner occupied >> Asian or Pacific Islander,Tract_numeric,In city of Detroit?
26099000000,Macomb,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0.0,No
26099000000,Wayne,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0.0,No
26099206700,Macomb,Michigan,3721,3448,162,6,15,4,25,61,1605,1528,1065,463,69.7,30.3,143200,151600,1005,44,1,1,6,4,2067.0,No
26099210000,Macomb,Michigan,4223,4099,34,16,12,0,6,56,1387,1337,1157,180,86.54,13.46,175900,171600,1138,3,4,0,7,2,2100.0,No
26099211000,Macomb,Michigan,4896,4672,12,15,40,9,91,57,2061,1976,1415,561,71.61,28.39,128200,135300,1396,1,1,1,10,4,2110.0,No
26099212000,Macomb,Michigan,5246,5144,6,15,6,1,20,54,1761,1715,1567,148,91.37,8.63,175000,165900,1543,1,3,0,16,1,2120.0,No
26099214000,Macomb,Michigan,2617,2542,22,11,7,3,11,21,957,925,874,51,94.49,5.51,135800,201700,857,8,2,1,2,3,2140.0,No
26099214500,Macomb,Michigan,3778,3687,9,14,22,0,8,38,1231,1189,1132,57,95.21,4.79,265100,256700,1113,3,6,0,5,5,2145.0,No
26099215000,Macomb,Michigan,3816,3732,2,11,24,2,22,23,1331,1275,1154,121,90.51,9.49,236000,226400,1140,0,4,0,4,3,2150.0,No
26099215200,Macomb,Michigan,5789,5702,12,4,41,0,3,27,2006,1910,1813,97,94.92,5.08,255700,257200,1795,3,0,0,7,8,2152.0,No
26099215300,Macomb,Michigan,2935,2862,10,10,24,0,8,21,1232,1184,819,365,69.17,30.83,200900,201800,806,1,1,0,1,7,2153.0,No
26099215500,Macomb,Michigan,4582,4401,23,24,18,0,69,47,1874,1786,1715,71,96.02,3.98,103300,170300,1674,5,11,0,10,3,2155.0,No
26099216000,Macomb,Michigan,3740,3657,6,11,14,0,17,35,1349,1305,1189,116,91.11,8.89,194800,187000,1167,2,5,0,11,2,2160.0,No
26099217000,Macomb,Michigan,2751,2668,36,12,6,1,6,22,975,945,864,81,91.43,8.57,184000,155400,844,8,4,1,4,1,2170.0,No
26099218000,Macomb,Michigan,5682,3994,1359,50,16,0,51,212,1671,1565,1327,238,84.79,15.21,59600,100700,1110,166,13,0,21,2,2180.0,No
26099220000,Macomb,Michigan,7405,7175,39,27,35,1,34,94,3218,2942,2104,838,71.52,28.48,162800,165800,2063,8,11,1,9,7,2200.0,No
26099221100,Macomb,Michigan,8403,8077,86,37,85,0,17,101,3055,2954,2645,309,89.54,10.46,157100,162700,2564,28,8,0,20,19,2211.0,No
26099221200,Macomb,Michigan,6655,5972,380,38,66,3,68,128,2463,2328,1733,595,74.44,25.56,146000,148500,1694,11,2,1,14,10,2212.0,No
26099221400,Macomb,Michigan,2089,2049,9,8,4,0,5,14,854,810,671,139,82.84,17.16,192200,190000,663,3,2,0,1,1,2214.0,No
26099221500,Macomb,Michigan,1015,989,12,1,5,0,4,4,337,324,302,22,93.21,6.79,216500,222300,298,1,0,0,1,1,2215.0,No
26099221800,Macomb,Michigan,2338,2268,23,1,7,0,9,30,731,695,673,22,96.83,3.17,212000,212400,659,8,1,0,3,1,2218.0,No
26099222100,Macomb,Michigan,10588,9456,549,41,87,3,205,247,4036,3830,2788,1042,72.79,27.21,155500,183500,2704,38,9,0,20,10,2221.0,No
26099222500,Macomb,Michigan,3511,3435,21,11,14,0,12,18,1425,1376,1198,178,87.06,12.94,155000,155600,1180,2,5,0,3,5,2225.0,No
26099222800,Macomb,Michigan,2808,2704,30,12,16,0,4,42,1067,1031,862,169,83.61,16.39,146500,147300,838,5,4,0,8,5,2228.0,No
26099223400,Macomb,Michigan,4605,4453,36,5,48,0,19,44,1770,1635,1569,66,95.96,4.04,164800,164800,1523,14,2,0,13,13,2234.0,No
26099223500,Macomb,Michigan,1079,1054,14,3,0,0,3,5,427,411,379,32,92.21,7.79,172500,157500,375,2,2,0,0,0,2235.0,No
26099223800,Macomb,Michigan,6418,6240,17,6,83,0,22,50,2028,1877,1841,36,98.08,1.92,240300,240800,1803,7,1,0,9,20,2238.0,No
26099223900,Macomb,Michigan,5171,4961,47,7,64,0,19,73,1985,1869,1845,24,98.72,1.28,221900,221600,1793,15,2,0,20,12,2239.0,No
26099224000,Macomb,Michigan,4399,4213,31,9,86,0,11,49,1445,1358,1324,34,97.5,2.5,237900,237100,1276,10,4,0,9,21,2240.0,No
26099224100,Macomb,Michigan,3313,3145,40,7,77,0,11,33,1119,1021,1010,11,98.92,1.08,231200,231200,964,9,2,0,4,28,2241.0,No
26099224200,Macomb,Michigan,6640,6297,118,33,49,0,20,123,2528,2370,2297,73,96.92,3.08,54600,225500,2206,40,9,0,25,15,2242.0,No
26099224300,Macomb,Michigan,4652,4499,26,11,64,1,11,40,1454,1437,1423,14,99.03,0.97,195700,196200,1379,12,2,0,14,14,2243.0,No
