FIPS,COUNTY,STATE,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,% Occupied Housing Units: Owner Occupied,% Occupied Housing Units: Renter Occupied,Owner occupied >> White,Owner occupied >> Black,Owner occupied >> American Indian,Owner occupied >> Native Hawaiian and Other Pacific Islander,Owner occupied >> Two or more races,Owner occupied >> Other race,Median Value,In city of Detroit?,Tract_numeric
26125120000,Oakland County,Michigan,3045,2954,0,6,51,0,0,34,1146,1097,1030,67,93.89,6.11,1032,5,4,0,7,9,262000,No,1200.0
26125120300,Oakland County,Michigan,3308,3219,19,51,0,0,0,19,1221,1145,1061,84,92.66,7.34,1057,8,4,0,3,0,288100,No,1203.0
26125121000,Oakland County,Michigan,2878,2858,0,0,0,0,0,20,1186,1097,1015,82,92.53,7.47,1040,9,4,0,14,11,63600,No,1210.0
26125121400,Oakland County,Michigan,3608,3466,38,0,53,0,19,32,1285,1219,1012,207,83.02,16.98,1093,18,3,0,7,2,252000,No,1214.0
26125121500,Oakland County,Michigan,3448,3309,40,0,41,0,0,58,1650,1475,969,506,65.69,34.31,831,8,0,0,4,4,162900,No,1215.0
26125121700,Oakland County,Michigan,5153,4873,47,0,0,0,69,164,1972,1776,1582,194,89.08,10.92,1592,6,5,2,11,3,206800,No,1217.0
26125121800,Oakland County,Michigan,4646,4447,67,50,60,0,22,0,1597,1597,1474,123,92.3,7.7,1396,12,6,1,13,5,209300,No,1218.0
26125122200,Oakland County,Michigan,3408,3274,0,65,0,0,0,69,1220,1144,1123,21,98.16,1.84,1130,6,3,0,6,0,239300,No,1222.0
26125122400,Oakland County,Michigan,6911,6771,0,0,62,0,22,56,2477,2297,2145,152,93.38,6.62,2139,16,6,0,19,15,167000,No,1224.0
26125122700,Oakland County,Michigan,2970,2916,32,22,0,0,0,0,1387,1183,1072,111,90.62,9.38,972,4,3,1,7,4,205200,No,1227.0
26125122900,Oakland County,Michigan,1817,1739,0,5,3,0,23,47,694,651,525,126,80.65,19.35,501,1,2,0,2,1,192500,No,1229.0
26125123000,Oakland County,Michigan,2592,2399,156,0,0,0,0,37,946,829,730,99,88.06,11.94,745,9,3,0,4,1,221300,No,1230.0
26125123100,Oakland County,Michigan,3007,2929,0,0,8,0,0,70,1025,970,951,19,98.04,1.96,992,1,3,0,8,1,267400,No,1231.0
26125124000,Oakland County,Michigan,5013,4649,168,0,122,0,22,52,1797,1681,1544,137,91.85,8.15,1689,60,3,3,14,4,200900,No,1240.0
26125124500,Oakland County,Michigan,6105,5921,66,38,31,0,0,49,2612,2430,1815,615,74.69,25.31,1742,23,6,0,14,9,123900,No,1245.0
26125125000,Oakland County,Michigan,3513,3174,62,6,0,0,202,69,1261,1170,1067,103,91.2,8.8,1087,12,6,0,14,3,221500,No,1250.0
26125125600,Oakland County,Michigan,2744,2628,42,8,0,0,31,35,1112,1050,1019,31,97.05,2.95,962,8,6,1,4,1,228200,No,1256.0
26125126200,Oakland County,Michigan,2560,2502,0,9,26,0,23,0,887,848,834,14,98.35,1.65,842,8,4,0,9,3,270900,No,1262.0
26125126300,Oakland County,Michigan,4518,4396,26,23,46,0,10,17,1907,1710,1486,224,86.9,13.1,1361,12,2,1,15,6,213500,No,1263.0
26125126400,Oakland County,Michigan,3526,3506,0,10,0,0,0,10,1296,1272,1195,77,93.95,6.05,1212,9,3,0,8,3,221900,No,1264.0
26125126500,Oakland County,Michigan,3233,3149,13,0,0,0,31,40,1174,1090,1006,84,92.29,7.71,985,11,5,0,7,3,241300,No,1265.0
26125127000,Oakland County,Michigan,5354,5163,7,11,36,0,8,129,1949,1789,1729,60,96.65,3.35,1763,15,3,0,19,5,249100,No,1270.0
26125127100,Oakland County,Michigan,5388,5155,14,0,122,0,0,97,1905,1782,1716,66,96.3,3.7,1714,18,2,0,8,6,326800,No,1271.0
26125127200,Oakland County,Michigan,1553,1543,0,0,2,0,0,8,721,615,521,94,84.72,15.28,514,7,1,0,5,2,305000,No,1272.0
26125127300,Oakland County,Michigan,4626,4299,152,7,57,12,0,99,2201,1970,1254,716,63.65,36.35,1185,7,5,1,14,2,221600,No,1273.0
26125127400,Oakland County,Michigan,1623,1585,14,0,8,0,0,16,693,640,599,41,93.59,6.41,547,3,2,0,7,6,145400,No,1274.0
26125127500,Oakland County,Michigan,6926,6443,191,12,153,0,64,63,2497,2423,2084,339,86.01,13.99,1959,15,4,0,9,6,210800,No,1275.0
26125127600,Oakland County,Michigan,3875,3615,146,0,24,0,0,90,1309,1240,1184,56,95.48,4.52,1165,32,1,0,5,2,343400,No,1276.0
26125127700,Oakland County,Michigan,5670,5320,52,0,69,0,95,134,2576,2438,1652,786,67.76,32.24,1521,14,7,1,19,31,119400,No,1277.0
26125128000,Oakland County,Michigan,2925,2891,0,10,12,0,5,7,1189,1115,1072,43,96.14,3.86,1001,7,3,0,7,3,188000,No,1280.0
26125128100,Oakland County,Michigan,2833,2794,23,0,0,0,16,0,1144,1032,988,44,95.74,4.26,945,6,4,0,4,3,261000,No,1281.0
26125128200,Oakland County,Michigan,3149,2996,0,0,102,0,51,0,1152,1120,1103,17,98.48,1.52,1057,9,1,0,9,2,222000,No,1282.0
26125128300,Oakland County,Michigan,4173,3966,130,0,17,0,23,37,1968,1735,1152,583,66.4,33.6,1246,10,3,0,14,6,168900,No,1283.0
26125128400,Oakland County,Michigan,3853,2994,242,0,89,0,455,73,1373,1361,1047,314,76.93,23.07,845,21,1,0,8,17,189200,No,1284.0
26125128500,Oakland County,Michigan,2902,2543,91,0,165,0,39,64,1179,1093,835,258,76.4,23.6,845,8,2,0,7,3,184600,No,1285.0
26125128600,Oakland County,Michigan,3313,3073,40,0,68,0,116,16,1149,1092,1046,46,95.79,4.21,1008,10,1,0,13,3,305900,No,1286.0
26125128700,Oakland County,Michigan,2227,2087,12,0,71,0,20,37,654,630,574,56,91.11,8.89,561,12,2,0,2,0,319300,No,1287.0
26125128800,Oakland County,Michigan,1564,1330,134,0,18,0,82,0,552,552,507,45,91.85,8.15,446,8,3,0,2,6,191100,No,1288.0
26125128900,Oakland County,Michigan,5190,4522,195,47,207,0,106,113,1907,1886,1458,428,77.31,22.69,1185,47,2,1,10,6,265100,No,1289.0
26125129000,Oakland County,Michigan,2936,2846,57,0,14,0,0,19,1381,1290,922,368,71.47,28.53,739,5,2,0,6,3,197400,No,1290.0
26125130000,Oakland County,Michigan,3382,3083,154,12,86,0,39,8,1569,1363,1170,193,85.84,14.16,1116,9,5,0,12,5,144400,No,1300.0
26125130100,Oakland County,Michigan,2108,1901,9,34,56,0,0,108,870,779,618,161,79.33,20.67,662,5,4,0,5,3,241200,No,1301.0
26125130200,Oakland County,Michigan,5088,4820,46,19,69,0,17,117,1965,1825,1581,244,86.63,13.37,1574,10,5,0,15,4,178600,No,1302.0
26125130300,Oakland County,Michigan,3927,3773,20,0,0,0,74,60,1430,1264,1177,87,93.12,6.88,1184,17,9,1,12,8,244400,No,1303.0
26125130400,Oakland County,Michigan,2989,2809,14,0,53,0,25,88,1281,1196,1146,50,95.82,4.18,1028,10,2,0,6,4,224400,No,1304.0
26125130500,Oakland County,Michigan,2958,2922,0,12,0,0,0,24,1203,1087,1023,64,94.11,5.89,1041,6,2,0,10,1,220600,No,1305.0
26125130600,Oakland County,Michigan,3176,3006,57,19,8,0,23,63,1318,1206,1125,81,93.28,6.72,1061,2,6,0,11,2,191200,No,1306.0
26125130700,Oakland County,Michigan,6055,5637,190,0,110,12,47,59,2409,2265,1994,271,88.04,11.96,1879,28,7,0,19,8,222000,No,1307.0
26125131100,Oakland County,Michigan,2125,2053,0,0,53,0,0,19,851,769,733,36,95.32,4.68,754,2,3,0,3,1,197800,No,1311.0
26125131300,Oakland County,Michigan,4485,4186,276,5,8,0,0,10,1757,1635,1421,214,86.91,13.09,1427,7,3,0,16,5,221300,No,1313.0
26125131400,Oakland County,Michigan,2199,2156,0,10,16,0,0,17,912,804,709,95,88.18,11.82,692,0,1,0,5,1,252000,No,1314.0
26125131500,Oakland County,Michigan,3868,3833,0,12,0,0,15,8,1552,1288,1208,80,93.79,6.21,1240,3,4,0,7,3,230800,No,1315.0
26125131600,Oakland County,Michigan,2601,2488,26,0,81,0,0,6,949,885,801,84,90.51,9.49,851,1,3,0,3,0,212900,No,1316.0
26125131800,Oakland County,Michigan,3938,3831,0,0,0,0,14,93,1656,1487,1444,43,97.11,2.89,1304,8,7,0,14,3,136100,No,1318.0
26125132100,Oakland County,Michigan,5571,5389,26,0,39,0,66,51,2089,1985,1902,83,95.82,4.18,1832,8,1,0,20,3,271900,No,1321.0
26125132500,Oakland County,Michigan,3199,2986,17,36,58,0,55,47,1556,1408,988,420,70.17,29.83,913,0,3,0,5,3,173600,No,1325.0
26125132600,Oakland County,Michigan,3866,3784,59,23,0,0,0,0,1427,1239,1210,29,97.66,2.34,1271,16,3,0,7,1,391100,No,1326.0
26125132700,Oakland County,Michigan,2994,2963,11,0,0,0,0,20,1242,1140,943,197,82.72,17.28,942,5,3,0,8,3,212200,No,1327.0
26125133001,Oakland County,Michigan,2765,2652,0,0,41,0,13,59,894,864,864,0,100,0,851,7,1,0,5,1,231800,No,1330.0
26125133002,Oakland County,Michigan,3370,3082,81,0,180,0,14,13,1220,1206,1072,134,88.89,11.11,1014,11,1,0,10,4,220300,No,1330.0
26125133003,Oakland County,Michigan,3389,2851,501,8,29,0,0,0,1484,1408,825,583,58.59,41.41,791,16,3,0,7,4,207700,No,1330.0
26125133100,Oakland County,Michigan,3932,2672,819,0,150,0,20,271,2742,2371,178,2193,7.51,92.49,160,4,0,0,0,0,69600,No,1331.0
26125134000,Oakland County,Michigan,4761,4555,49,0,30,0,0,127,1820,1678,1594,84,94.99,5.01,1572,16,6,0,7,1,200200,No,1340.0
26125134300,Oakland County,Michigan,4913,4833,0,7,30,0,0,43,1835,1788,1663,125,93.01,6.99,1519,5,4,0,19,2,217500,No,1343.0
26125134400,Oakland County,Michigan,4206,4058,19,57,39,0,24,9,1716,1517,1388,129,91.5,8.5,1480,11,1,0,14,1,213100,No,1344.0
26125134500,Oakland County,Michigan,3229,2991,0,0,182,0,46,10,1194,1171,966,205,82.49,17.51,971,8,1,0,7,3,218100,No,1345.0
26125134600,Oakland County,Michigan,4109,4010,0,9,78,0,0,12,1657,1547,1399,148,90.43,9.57,1388,4,1,0,10,2,187800,No,1346.0
26125134700,Oakland County,Michigan,2490,2351,37,0,102,0,0,0,1177,1095,836,259,76.35,23.65,798,8,4,0,3,3,129100,No,1347.0
26125134800,Oakland County,Michigan,3024,2792,71,0,161,0,0,0,1499,1420,1219,201,85.85,14.15,1101,27,0,0,14,2,220400,No,1348.0
26125134900,Oakland County,Michigan,4170,3761,134,11,167,0,6,91,2420,2033,1336,697,65.72,34.28,1152,18,3,0,8,1,159200,No,1349.0
26125135000,Oakland County,Michigan,2920,2618,19,85,32,0,0,166,1051,954,935,19,98.01,1.99,868,7,7,0,12,11,30300,No,1350.0
26125135100,Oakland County,Michigan,4979,4783,58,0,7,0,32,99,1826,1773,1723,50,97.18,2.82,1740,26,1,0,10,2,279700,No,1351.0
26125135200,Oakland County,Michigan,3063,2774,92,0,158,0,8,31,1445,1328,1033,295,77.79,22.21,915,21,2,0,11,9,172300,No,1352.0
26125135300,Oakland County,Michigan,4324,4120,85,0,41,0,15,63,1367,1367,1304,63,95.39,4.61,1380,32,3,0,5,3,329100,No,1353.0
26125136000,Oakland County,Michigan,2739,1951,218,0,570,0,0,0,1655,1355,765,590,56.46,43.54,530,33,2,0,7,2,224200,No,1360.0
26125136101,Oakland County,Michigan,4043,3264,48,0,660,0,48,23,1881,1800,1410,390,78.33,21.67,937,54,3,0,8,1,262000,No,1361.0
26125136102,Oakland County,Michigan,4190,2881,778,0,415,0,70,46,2496,2334,173,2161,7.41,92.59,173,20,1,0,0,0,357500,No,1361.0
26125136300,Oakland County,Michigan,4217,3251,139,0,755,0,63,9,1999,1704,1066,638,62.56,37.44,862,17,0,0,7,3,297200,No,1363.0
26125136500,Oakland County,Michigan,4956,4001,300,0,453,0,59,143,2441,2198,1737,461,79.03,20.97,1539,49,1,0,11,5,172900,No,1365.0
26125136600,Oakland County,Michigan,7609,5344,353,0,1712,0,36,164,3304,2947,1949,998,66.14,33.86,1620,38,5,0,25,7,223100,No,1366.0
26125136700,Oakland County,Michigan,5641,4589,66,0,843,0,69,74,2482,2238,1675,563,74.84,25.16,1610,43,2,0,16,7,266000,No,1367.0
26125136800,Oakland County,Michigan,3665,2911,258,0,390,0,18,88,2003,1904,1416,488,74.37,25.63,1311,99,3,0,10,8,175100,No,1368.0
26125137100,Oakland County,Michigan,8467,6171,401,24,1460,0,114,297,3053,2874,2577,297,89.67,10.33,2061,81,5,0,26,11,323100,No,1371.0
26125137400,Oakland County,Michigan,6464,5270,213,40,834,0,0,107,1897,1866,1824,42,97.75,2.25,1499,55,2,0,21,2,449100,No,1374.0
26125137700,Oakland County,Michigan,1952,1744,55,0,140,0,13,0,953,879,509,370,57.91,42.09,510,2,0,0,2,0,292700,No,1377.0
26125137800,Oakland County,Michigan,3267,3041,13,0,93,19,44,57,1415,1286,1107,179,86.08,13.92,1109,11,1,0,3,0,259600,No,1378.0
26125138100,Oakland County,Michigan,3889,3635,104,0,60,0,53,37,1438,1298,1229,69,94.68,5.32,1272,22,2,0,7,2,296400,No,1381.0
26125138301,Oakland County,Michigan,3581,3323,0,15,95,0,127,21,1301,1253,1017,236,81.17,18.83,1096,9,3,0,10,5,204300,No,1383.0
