Record ID,Description,Status,Status Date,Parcel ID,Longitude,Latitude,ObjectId,Address ID,Street Number,Street Direction,Street Name,x,y
BLD2011-05234,C OF O ISSUED 9-3-2014,CofO Issued,8/29/2024 4:00:00 AM,15003295.,-83.0242,42.419199,1,238805,7630,E,MCNICHOLS,-9242211.6675189,5223981.73353828
BLD2011-06466,ESTABLISH A USED MOTOR VEHICLE SALES LOT AND A MOJOR MOTOR VEHICLE REPAIR FACILITY BUILDING  AND PARTION OF A 2000 SF AND 3000 SF SECTIONS OF AN EXISTING APPRO 5000 SF BLDG PER B&SE GRANT # 121-10 AS RECORDED IN WCRD,CofO Issued,9/11/2024 4:00:00 AM,22018923.,-83.226265,42.443799,2,97093,18601,W,EIGHT MILE,-9264705.44042605,5227691.95837256
BLD2012-04594,CHANGE OF USE TO ADD MUSIC SCHOOL TO EXISTING RESIDENTIAL & ASSOCIATED REPAIRS AS PER PLAN.,CofO Issued,12/3/2019 5:00:00 AM,17000066.,-82.990362,42.354818,3,536589,8469,E,JEFFERSON,-9238444.83858944,5214278.53638034
BLD2012-05773,RENOVATIONS AND REPLACEMENT OF EXISTING STORE FRONTS AND RE-ROOFING THE BUILDING AS PER PLANS.SUBJECT TO FIELD APPROVAL.,CofO Issued,9/27/2022 4:00:00 AM,02000890.,-83.065518,42.350978,4,329189,441,W,CANFIELD,-9246811.1662395,5213700.10418387
BLD2013-00636,ESTABLISH A LITHOGRAPHY SIGN SHOP AS PER LOT PLOT IN A B4 ZONE PER BZA GRANT # 21-10 AS RECORDED IN THE WAYNE COUNTY RECORD.,CofO Issued,1/14/2019 5:00:00 AM,22001862.,-83.194035,42.351161,5,351765,15222,,TIREMAN,-9261117.61323778,5213727.66929129
BLD2013-02158,CHANGE OF OCCUPANCY TO A RESTAURANT (COFFEE HOUSE) AS PER PLANS. SUBJECT TO FIELD APPROVAL. SEPARATE TRADE PERMITS INTERIOR SUITE BUILD-OUT IN A 764 SQUARE FOOT SPACE OF AN EXISTING BUILDING,CofO Issued,9/26/2022 4:00:00 AM,02002102.,-83.063138,42.350387,6,233110,4160,,CASS,-9246546.22585141,5213611.08299163
BLD2014-00051,ADD USED MOTOR VEHICLE SALES TO AN EXISTING MINOR MOTOR VEHICLE REPAIR FACILITY AS PER LOT PLAT IN B4 ZONE PER BZA 55-13 AS RECORDED IN THE WCR.,CofO Issued,4/29/2021 4:00:00 AM,22003132-6,-83.187651,42.358683,7,216929,14610,,JOY ROAD,-9260406.94960856,5214860.77010145
BLD2014-03541,TENANT BUILDOUT TO ESTABLISH AN EDIBLE ARRANGEMENT RETAIL STORE AS PER PLANS. SEPERATE PERMITS REQUIRED FOR TRADES.,CofO Issued,10/5/2022 4:00:00 AM,01008224-5,-83.119736,42.446243,8,348325,1279,W,EIGHT MILE AKA 1339 W EIGHT MILE,-9252846.68639133,5228060.64724489
BLD2014-03757,,CofO Issued,10/2/2019 4:00:00 AM,16018256-60,-83.138745,42.359095,9,216202,8725,,LIVERNOIS,-9254962.75859182,5214922.83697247
BLD2015-00621,PERAMNENT CERTIFICATE OF OCCUPANCY  ISSUED FLOORS 7-9,CofO Issued,3/5/2019 5:00:00 AM,02001886.,-83.048259,42.33294,10,34313,1201,,WOODWARD,-9244889.9031479,5210983.45194345
