DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-386302,3657 Frederick,2024-01-09,1500,Demo Pull Sale,3500-6299 Frederick St,5,Poletown East,48211,3657,,FREDERICK,St,13003127.,258395,-83.030825947338,42.37238591047,1,-9242949.26460259,5216925.30103068
A-270995,2336 Glendale,2020-09-18,1100,Own It Now,2330-2398 Glendale St,5,Dexter-Linwood,48238,2336,,GLENDALE,St,08004264.,40239,-83.1166117278464,42.3917021492504,2,-9252498.89400609,5219836.32180897
A-271730,3345 Vicksburg,2020-10-14,1000,Own It Now,3200-3699 Vicksburg St,5,Wildemere Park,48206,3345,,VICKSBURG,St,12001729.,81797,-83.111532087587,42.3625326171975,3,-9251933.431039,5215440.72211624
A-363328,11738 Stahelin,2023-07-06,11000,Own It Now,11634-11999 Stahelin Ave,7,Southfield Plymouth,48228,11738,,STAHELIN,Ave,22082986.,172888,-83.2250109556942,42.3741549032452,4,-9264565.84085249,5217191.85681779
A-153847,2640 Carter,2018-02-08,1000,Own It Now,2600-2899 Carter St,5,Jamison,48206,2640,,CARTER,St,10002154.,57763,-83.1074213178697,42.3699951808262,5,-9251475.82224731,5216565.07247088
A-344754,15760 Rockdale,2022-09-14,1800,Own It Now,15700-15799 Rockdale St,1,Brightmoor,48223,15760,,ROCKDALE,St,22114247.,130739,-83.2579130946653,42.4052209250156,6,-9268228.49020876,5221874.17875746
A-297199,9382 Ward,2021-03-17,3000,Demo Pull Sale,9300-9499 Ward St,7,Barton-McFarland,48228,9382,,WARD,St,22024584.,201406,-83.1724438289677,42.3649321816534,7,-9258714.09507284,5215802.23895744
A-273265,3757 Whitney,2020-12-18,2100,Own It Now,3700-3999 Whitney St,5,Petoskey-Otsego,48206,3757,,WHITNEY,St,14002501.,71269,-83.1119832280739,42.35971923322,8,-9251983.65176828,5215016.87707494
A-396150,3757 Whitney,2024-03-01,3000,Demo Pull Sale,3700-3999 Whitney St,5,Petoskey-Otsego,48206,3757,,WHITNEY,St,14002501.,71269,-83.1119832280739,42.35971923322,9,-9251983.65176828,5215016.87707494
A-299158,14845 Ilene,2021-05-18,4600,Own It Now,14800-14999 Ilene St,2,Bethune Community,48238,14845,,ILENE,St,16040795.,84371,-83.1619489930684,42.3986207234963,10,-9257545.81528457,5220879.19161902
